CeA_Ctrl	CeA_Mor	dStr_Ctrl	dStr_Mor	NAc_Ctrl	NAc_Mor	ensembl_gene_id	mgi_symbol	SYMBOL	GENENAME
Ciart	9	19	27	36	18	6	ENSMUSG00000038550	Ciart	Ciart	circadian associated repressor of transcription
Aph1a	16	35	37	21	29	29	ENSMUSG00000015750	Aph1a	Aph1a	aph1 homolog A, gamma secretase subunit
Anp32e	237	205	181	167	234	125	ENSMUSG00000015749	Anp32e	Anp32e	acidic (leucine-rich) nuclear phosphoprotein 32 family, member E
Plekho1	7	14	8	24	10	11	ENSMUSG00000015745	Plekho1	Plekho1	pleckstrin homology domain containing, family O member 1
Vps45	128	105	54	70	71	65	ENSMUSG00000015747	Vps45	Vps45	vacuolar protein sorting 45
Otud7b	46	40	77	56	69	36	ENSMUSG00000038495	Otud7b	Otud7b	OTU domain containing 7B
Mtmr11	1	5	10	10	3	0	ENSMUSG00000045934	Mtmr11	Mtmr11	myotubularin related protein 11
Sf3b4	36	28	26	27	22	23	ENSMUSG00000068856	Sf3b4	Sf3b4	splicing factor 3b, subunit 4
Sv2a	875	779	591	447	822	745	ENSMUSG00000038486	Sv2a	Sv2a	synaptic vesicle glycoprotein 2 a
Bola1	29	20	17	12	17	13	ENSMUSG00000015943	Bola1	Bola1	bolA-like 1 (E. coli)
H2ac21	49	27	27	25	25	18	ENSMUSG00000063689	H2ac21	H2ac21	H2A clustered histone 21
H2ac20	67	29	22	21	35	53	ENSMUSG00000068855	H2ac20	H2ac20	H2A clustered histone 20
H2bc21	18	18	6	8	27	6	ENSMUSG00000068854	H2bc21	H2bc21	H2B clustered histone 21
H4c14	60	68	46	34	42	66	ENSMUSG00000091405	H4c14	H4c14	H4 clustered histone 14
H3c13	57	31	18	27	49	16	ENSMUSG00000074403	H3c13	H3c13	H3 clustered histone 13
H2bc18	15	12	12	0	13	14	ENSMUSG00000105827	H2bc18	H2bc18	H2B clustered histone 18
Txnip	11	4	5	18	4	3	ENSMUSG00000038393	Txnip	Txnip	thioredoxin interacting protein
Polr3gl	24	16	9	9	16	7	ENSMUSG00000028104	Polr3gl	Polr3gl	polymerase (RNA) III (DNA directed) polypeptide G like
Ankrd34a	88	77	39	44	69	79	ENSMUSG00000049097	Ankrd34a	Ankrd34a	ankyrin repeat domain 34A
Lix1l	40	45	26	20	18	38	ENSMUSG00000049288	Lix1l	Lix1l	Lix1-like
6330549D23Rik	13	7	6	14	21	4	ENSMUSG00000045327	6330549D23Rik	6330549D23Rik	RIKEN cDNA 6330549D23 gene
Rbm8a	74	54	67	73	83	34	ENSMUSG00000038374	Rbm8a	Rbm8a	RNA binding motif protein 8a
Pex11b	40	25	8	17	55	13	ENSMUSG00000028102	Pex11b	Pex11b	peroxisomal biogenesis factor 11 beta
Ankrd35	18	9	24	15	14	20	ENSMUSG00000038354	Ankrd35	Ankrd35	ankyrin repeat domain 35
Pias3	3	12	10	0	28	15	ENSMUSG00000028101	Pias3	Pias3	protein inhibitor of activated STAT 3
Polr3c	25	17	38	54	25	36	ENSMUSG00000028099	Polr3c	Polr3c	polymerase (RNA) III (DNA directed) polypeptide C
Rnf115	106	140	79	95	74	74	ENSMUSG00000028098	Rnf115	Rnf115	ring finger protein 115
Gpr89	124	154	165	113	189	182	ENSMUSG00000028096	Gpr89	Gpr89	G protein-coupled receptor 89
Acp6	31	40	39	13	23	29	ENSMUSG00000028093	Acp6	Acp6	acid phosphatase 6, lysophosphatidic
Bcl9	110	133	78	81	94	128	ENSMUSG00000038256	Bcl9	Bcl9	B cell CLL/lymphoma 9
Chd1l	26	16	31	8	21	2	ENSMUSG00000028089	Chd1l	Chd1l	chromodomain helicase DNA binding protein 1-like
Prkab2	62	98	103	111	71	66	ENSMUSG00000038205	Prkab2	Prkab2	protein kinase, AMP-activated, beta 2 non-catalytic subunit
Pde4dip	685	683	884	765	818	681	ENSMUSG00000038170	Pde4dip	Pde4dip	phosphodiesterase 4D interacting protein (myomegalin)
Sec22b	190	175	117	89	138	80	ENSMUSG00000027879	Sec22b	Sec22b	SEC22 homolog B, vesicle trafficking protein
Notch2	21	30	84	45	55	64	ENSMUSG00000027878	Notch2	Notch2	notch 2
Hmgcs2	0	10	1	10	11	6	ENSMUSG00000027875	Hmgcs2	Hmgcs2	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 2
Phgdh	10	13	22	28	8	12	ENSMUSG00000053398	Phgdh	Phgdh	3-phosphoglycerate dehydrogenase
Zfp697	47	32	18	23	74	35	ENSMUSG00000050064	Zfp697	Zfp697	zinc finger protein 697
Wars2	8	21	25	10	21	9	ENSMUSG00000004233	Wars2	Wars2	tryptophanyl tRNA synthetase 2 (mitochondrial)
Wdr3	47	64	54	45	83	73	ENSMUSG00000033285	Wdr3	Wdr3	WD repeat domain 3
Gdap2	58	113	146	117	130	107	ENSMUSG00000027865	Gdap2	Gdap2	ganglioside-induced differentiation-associated-protein 2
Man1a2	710	643	506	466	678	558	ENSMUSG00000008763	Man1a2	Man1a2	mannosidase, alpha, class 1A, member 2
Trim45	6	37	24	5	23	18	ENSMUSG00000033233	Trim45	Trim45	tripartite motif-containing 45
Ptgfrn	86	111	69	43	69	70	ENSMUSG00000027864	Ptgfrn	Ptgfrn	prostaglandin F2 receptor negative regulator
Igsf3	109	179	59	51	130	79	ENSMUSG00000042035	Igsf3	Igsf3	immunoglobulin superfamily, member 3
Atp1a1	1218	1242	825	596	1262	1059	ENSMUSG00000033161	Atp1a1	Atp1a1	ATPase, Na+/K+ transporting, alpha 1 polypeptide
Slc22a15	82	71	50	25	68	38	ENSMUSG00000033147	Slc22a15	Slc22a15	solute carrier family 22 (organic anion/cation transporter), member 15
Casq2	0	0	15	11	0	0	ENSMUSG00000027861	Casq2	Casq2	calsequestrin 2
Vangl1	30	11	4	3	7	11	ENSMUSG00000027860	Vangl1	Vangl1	VANGL planar cell polarity 1
Tspan2	135	105	152	191	174	182	ENSMUSG00000027858	Tspan2	Tspan2	tetraspanin 2
Sike1	185	212	243	188	209	170	ENSMUSG00000027854	Sike1	Sike1	suppressor of IKBKE 1
Csde1	1334	895	934	838	1108	852	ENSMUSG00000068823	Csde1	Csde1	cold shock domain containing E1, RNA binding
Nras	112	80	135	151	121	84	ENSMUSG00000027852	Nras	Nras	neuroblastoma ras oncogene
Bcas2	144	145	106	116	138	122	ENSMUSG00000005687	Bcas2	Bcas2	BCAS2 pre-mRNA processing factor
Trim33	534	388	449	398	576	359	ENSMUSG00000033014	Trim33	Trim33	tripartite motif-containing 33
Syt6	165	139	542	429	423	246	ENSMUSG00000027849	Syt6	Syt6	synaptotagmin VI
Olfml3	14	9	13	19	19	12	ENSMUSG00000027848	Olfml3	Olfml3	olfactomedin-like 3
Hipk1	556	507	610	563	574	444	ENSMUSG00000008730	Hipk1	Hipk1	homeodomain interacting protein kinase 1
Dclre1b	12	32	19	16	33	17	ENSMUSG00000027845	Dclre1b	Dclre1b	DNA cross-link repair 1B
Rsbn1	433	368	266	326	437	373	ENSMUSG00000044098	Rsbn1	Rsbn1	rosbin, round spermatid basic protein 1
Phtf1os	18	35	28	13	15	10	ENSMUSG00000089998	Phtf1os	Phtf1os	putative homeodomain transcription factor 1, opposite strand
Phtf1	212	139	189	182	185	122	ENSMUSG00000058388	Phtf1	Phtf1	putative homeodomain transcription factor 1
Magi3	331	266	224	116	215	221	ENSMUSG00000052539	Magi3	Magi3	membrane associated guanylate kinase, WW and PDZ domain containing 3
Lrig2	359	261	246	204	316	251	ENSMUSG00000032913	Lrig2	Lrig2	leucine-rich repeats and immunoglobulin-like domains 2
Slc16a1	42	34	41	29	74	60	ENSMUSG00000032902	Slc16a1	Slc16a1	solute carrier family 16 (monocarboxylic acid transporters), member 1
Mov10	47	19	37	45	36	34	ENSMUSG00000002227	Mov10	Mov10	Mov10 RISC complex RNA helicase
Capza1	52	60	93	58	101	80	ENSMUSG00000070372	Capza1	Capza1	capping protein (actin filament) muscle Z-line, alpha 1
St7l	212	216	314	158	215	149	ENSMUSG00000045576	St7l	St7l	suppression of tumorigenicity 7-like
Cttnbp2nl	110	132	77	138	123	73	ENSMUSG00000062127	Cttnbp2nl	Cttnbp2nl	CTTNBP2 N-terminal like
Kcnd3os	20	9	9	12	12	5	ENSMUSG00000074346	Kcnd3os	Kcnd3os	potassium voltage-gated channel, Shal-related family, member 3, opposite strand
Kcnd3	443	385	201	114	387	286	ENSMUSG00000040896	Kcnd3	Kcnd3	potassium voltage-gated channel, Shal-related family, member 3
Ddx20	145	70	54	55	79	32	ENSMUSG00000027905	Ddx20	Ddx20	DEAD box helicase 20
Inka2	100	101	240	259	141	105	ENSMUSG00000048458	Inka2	Inka2	inka box actin regulator 2
Rap1a	71	58	93	75	101	53	ENSMUSG00000068798	Rap1a	Rap1a	RAS-related protein 1a
Atp5pb	465	357	390	334	436	376	ENSMUSG00000000563	Atp5pb	Atp5pb	ATP synthase peripheral stalk-membrane subunit b
Wdr77	98	81	52	41	66	48	ENSMUSG00000000561	Wdr77	Wdr77	WD repeat domain 77
Chia1	6	22	2	3	17	9	ENSMUSG00000062778	Chia1	Chia1	chitinase, acidic 1
Cept1	123	117	154	63	191	122	ENSMUSG00000040774	Cept1	Cept1	choline/ethanolaminephosphotransferase 1
Dram2	63	68	60	67	54	50	ENSMUSG00000027900	Dram2	Dram2	DNA-damage regulated autophagy modulator 2
Lrif1	128	96	122	124	180	123	ENSMUSG00000056260	Lrif1	Lrif1	ligand dependent nuclear receptor interacting factor 1
Cd53	15	19	10	5	10	2	ENSMUSG00000040747	Cd53	Cd53	CD53 antigen
Kcna3	78	33	60	48	69	69	ENSMUSG00000047959	Kcna3	Kcna3	potassium voltage-gated channel, shaker-related subfamily, member 3
AI504432	266	283	255	226	424	313	ENSMUSG00000056145	AI504432	AI504432	expressed sequence AI504432
Kcna2	384	399	644	574	536	517	ENSMUSG00000040724	Kcna2	Kcna2	potassium voltage-gated channel, shaker-related subfamily, member 2
Lamtor5	53	28	29	20	45	15	ENSMUSG00000087260	Lamtor5	Lamtor5	late endosomal/lysosomal adaptor, MAPK and MTOR activator 5
Rbm15	234	293	399	319	306	242	ENSMUSG00000048109	Rbm15	Rbm15	RNA binding motif protein 15
Kcnc4	37	35	6	9	57	18	ENSMUSG00000027895	Kcnc4	Kcnc4	potassium voltage gated channel, Shaw-related subfamily, member 4
Slc6a17	618	601	418	410	668	564	ENSMUSG00000027894	Slc6a17	Slc6a17	solute carrier family 6 (neurotransmitter transporter), member 17
Strip1	65	78	26	46	39	56	ENSMUSG00000014601	Strip1	Strip1	striatin interacting protein 1
Ahcyl1	505	614	684	555	559	454	ENSMUSG00000027893	Ahcyl1	Ahcyl1	S-adenosylhomocysteine hydrolase-like 1
Csf1	30	11	13	15	11	17	ENSMUSG00000014599	Csf1	Csf1	colony stimulating factor 1 (macrophage)
4933431E20Rik	132	151	143	108	66	121	ENSMUSG00000086968	4933431E20Rik	4933431E20Rik	RIKEN cDNA 4933431E20 gene
Gstm5	112	80	106	81	95	90	ENSMUSG00000004032	Gstm5	Gstm5	glutathione S-transferase, mu 5
Gstm7	1	5	7	3	12	9	ENSMUSG00000004035	Gstm7	Gstm7	glutathione S-transferase, mu 7
Gstm6	14	15	11	0	4	2	ENSMUSG00000068762	Gstm6	Gstm6	glutathione S-transferase, mu 6
Gstm1	124	125	103	117	115	114	ENSMUSG00000058135	Gstm1	Gstm1	glutathione S-transferase, mu 1
Gstm4	10	7	0	5	13	9	ENSMUSG00000027890	Gstm4	Gstm4	glutathione S-transferase, mu 4
Ampd2	113	52	82	62	78	67	ENSMUSG00000027889	Ampd2	Ampd2	adenosine monophosphate deaminase 2
Gnai3	48	79	75	56	77	54	ENSMUSG00000000001	Gnai3	Gnai3	guanine nucleotide binding protein (G protein), alpha inhibiting 3
Gpr61	68	34	60	56	33	36	ENSMUSG00000046793	Gpr61	Gpr61	G protein-coupled receptor 61
Amigo1	159	172	187	82	206	146	ENSMUSG00000050947	Amigo1	Amigo1	adhesion molecule with Ig like domain 1
Cyb561d1	58	41	60	16	40	32	ENSMUSG00000048796	Cyb561d1	Cyb561d1	cytochrome b-561 domain containing 1
Atxn7l2	25	25	29	12	21	40	ENSMUSG00000048997	Atxn7l2	Atxn7l2	ataxin 7-like 2
Psma5	100	33	60	70	70	61	ENSMUSG00000068749	Psma5	Psma5	proteasome subunit alpha 5
Sort1	612	612	654	545	564	626	ENSMUSG00000068747	Sort1	Sort1	sortilin 1
Celsr2	860	786	606	537	586	768	ENSMUSG00000068740	Celsr2	Celsr2	cadherin, EGF LAG seven-pass G-type receptor 2
Sars	167	179	134	122	198	146	ENSMUSG00000068739	Sars	Sars	seryl-aminoacyl-tRNA synthetase
Elapor1	270	278	303	250	449	285	ENSMUSG00000040412	Elapor1	Elapor1	endosome-lysosome associated apoptosis and autophagy regulator 1
Tmem167b	104	149	73	55	64	70	ENSMUSG00000068732	Tmem167b	Tmem167b	transmembrane protein 167B
Taf13	9	22	39	32	27	21	ENSMUSG00000048100	Taf13	Taf13	TATA-box binding protein associated factor 13
Wdr47	571	432	436	335	487	326	ENSMUSG00000040389	Wdr47	Wdr47	WD repeat domain 47
Clcc1	152	70	87	59	95	48	ENSMUSG00000027884	Clcc1	Clcc1	chloride channel CLIC-like 1
Gpsm2	10	16	31	25	14	11	ENSMUSG00000027883	Gpsm2	Gpsm2	G-protein signalling modulator 2 (AGS3-like, C. elegans)
Stxbp3	79	20	61	42	68	25	ENSMUSG00000027882	Stxbp3	Stxbp3	syntaxin binding protein 3
Prpf38b	459	389	542	497	640	415	ENSMUSG00000027881	Prpf38b	Prpf38b	PRP38 pre-mRNA processing factor 38 (yeast) domain containing B
Fam102b	385	286	343	329	425	321	ENSMUSG00000040339	Fam102b	Fam102b	family with sequence similarity 102, member B
Vav3	50	36	90	88	78	31	ENSMUSG00000033721	Vav3	Vav3	vav 3 oncogene
Ntng1	134	131	111	74	174	175	ENSMUSG00000059857	Ntng1	Ntng1	netrin G1
Prmt6	130	80	30	95	59	63	ENSMUSG00000049300	Prmt6	Prmt6	protein arginine N-methyltransferase 6
Amy1	17	19	15	19	56	38	ENSMUSG00000074264	Amy1	Amy1	amylase 1, salivary
Rnpc3	194	204	297	258	348	222	ENSMUSG00000027981	Rnpc3	Rnpc3	RNA-binding region (RNP1, RRM) containing 3
Col11a1	45	13	32	32	75	60	ENSMUSG00000027966	Col11a1	Col11a1	collagen, type XI, alpha 1
Olfm3	526	400	273	244	669	533	ENSMUSG00000027965	Olfm3	Olfm3	olfactomedin 3
S1pr1	44	33	99	97	107	61	ENSMUSG00000045092	S1pr1	S1pr1	sphingosine-1-phosphate receptor 1
A930005H10Rik	19	39	17	22	20	11	ENSMUSG00000054426	A930005H10Rik	A930005H10Rik	RIKEN cDNA A930005H10 gene
Dph5	59	71	74	41	72	50	ENSMUSG00000033554	Dph5	Dph5	diphthamide biosynthesis 5
Slc30a7	185	249	186	187	188	173	ENSMUSG00000054414	Slc30a7	Slc30a7	solute carrier family 30 (zinc transporter), member 7
Extl2	312	321	316	230	297	273	ENSMUSG00000027963	Extl2	Extl2	exostosin-like glycosyltransferase 2
Vcam1	25	24	18	20	22	11	ENSMUSG00000027962	Vcam1	Vcam1	vascular cell adhesion molecule 1
Gpr88	1234	909	2878	2085	1587	1349	ENSMUSG00000068696	Gpr88	Gpr88	G-protein coupled receptor 88
Cdc14a	63	31	17	5	21	13	ENSMUSG00000033502	Cdc14a	Cdc14a	CDC14 cell division cycle 14A
Rtca	65	59	107	79	63	60	ENSMUSG00000000339	Rtca	Rtca	RNA 3'-terminal phosphate cyclase
Dbt	63	67	25	40	69	32	ENSMUSG00000000340	Dbt	Dbt	dihydrolipoamide branched chain transacylase E2
Trmt13	69	30	67	45	57	32	ENSMUSG00000033439	Trmt13	Trmt13	tRNA methyltransferase 13
Sass6	50	20	17	38	34	15	ENSMUSG00000027959	Sass6	Sass6	SAS-6 centriolar assembly protein
Mfsd14a	226	210	154	124	177	148	ENSMUSG00000089911	Mfsd14a	Mfsd14a	major facilitator superfamily domain containing 14A
Slc35a3	86	86	118	96	197	96	ENSMUSG00000027957	Slc35a3	Slc35a3	solute carrier family 35 (UDP-N-acetylglucosamine (UDP-GlcNAc) transporter), member 3
Agl	92	81	105	52	147	105	ENSMUSG00000033400	Agl	Agl	amylo-1,6-glucosidase, 4-alpha-glucanotransferase
Palmd	89	31	13	6	41	21	ENSMUSG00000033377	Palmd	Palmd	palmdelphin
Plppr4	2165	1819	1592	1117	1798	1498	ENSMUSG00000044667	Plppr4	Plppr4	phospholipid phosphatase related 4
Plppr5	344	260	280	262	290	224	ENSMUSG00000033342	Plppr5	Plppr5	phospholipid phosphatase related 5
Snx7	156	101	79	105	102	60	ENSMUSG00000028007	Snx7	Snx7	sorting nexin 7
Dpyd	60	82	20	31	95	58	ENSMUSG00000033308	Dpyd	Dpyd	dihydropyrimidine dehydrogenase
Ptbp2	673	665	614	527	824	592	ENSMUSG00000028134	Ptbp2	Ptbp2	polypyrimidine tract binding protein 2
Rwdd3	32	36	15	43	53	36	ENSMUSG00000028133	Rwdd3	Rwdd3	RWD domain containing 3
Tlcd4	160	193	208	140	242	201	ENSMUSG00000028132	Tlcd4	Tlcd4	TLC domain containing 4
Alg14	17	8	17	11	12	41	ENSMUSG00000039887	Alg14	Alg14	asparagine-linked glycosylation 14
Cnn3	40	49	65	33	38	43	ENSMUSG00000053931	Cnn3	Cnn3	calponin 3, acidic
F3	48	29	28	39	34	15	ENSMUSG00000028128	F3	F3	coagulation factor III
Abcd3	257	214	250	188	307	173	ENSMUSG00000028127	Abcd3	Abcd3	ATP-binding cassette, sub-family D (ALD), member 3
Arhgap29	36	67	34	19	26	23	ENSMUSG00000039831	Arhgap29	Arhgap29	Rho GTPase activating protein 29
Gclm	116	152	120	138	155	151	ENSMUSG00000028124	Gclm	Gclm	glutamate-cysteine ligase, modifier subunit
Dnttip2	143	145	111	90	154	92	ENSMUSG00000039756	Dnttip2	Dnttip2	deoxynucleotidyltransferase, terminal, interacting protein 2
Bcar3	13	29	12	18	20	9	ENSMUSG00000028121	Bcar3	Bcar3	breast cancer anti-estrogen resistance 3
Fnbp1l	856	637	1535	1286	916	596	ENSMUSG00000039735	Fnbp1l	Fnbp1l	formin binding protein 1-like
1810037I17Rik	39	52	37	22	32	26	ENSMUSG00000054091	1810037I17Rik	1810037I17Rik	RIKEN cDNA 1810037I17 gene
Usp53	172	194	129	147	203	154	ENSMUSG00000039701	Usp53	Usp53	ubiquitin specific peptidase 53
Synpo2	19	29	100	59	17	8	ENSMUSG00000050315	Synpo2	Synpo2	synaptopodin 2
Sec24d	60	36	41	25	25	21	ENSMUSG00000039234	Sec24d	Sec24d	Sec24 related gene family, member D (S. cerevisiae)
Mettl14	61	51	79	86	123	43	ENSMUSG00000028114	Mettl14	Mettl14	methyltransferase like 14
Snhg8	11	29	9	35	19	7	ENSMUSG00000104960	Snhg8	Snhg8	small nucleolar RNA host gene 8
Ndst3	238	151	75	72	121	79	ENSMUSG00000027977	Ndst3	Ndst3	N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 3
Tram1l1	136	120	73	65	152	136	ENSMUSG00000044528	Tram1l1	Tram1l1	translocation associated membrane protein 1-like 1
Ndst4	88	67	46	22	45	122	ENSMUSG00000027971	Ndst4	Ndst4	N-deacetylase/N-sulfotransferase (heparin glucosaminyl) 4
Ugt8a	35	11	85	62	40	34	ENSMUSG00000032854	Ugt8a	Ugt8a	UDP galactosyltransferase 8A
Camk2d	1652	1443	239	189	595	456	ENSMUSG00000053819	Camk2d	Camk2d	calcium/calmodulin-dependent protein kinase II, delta
Ank2	2600	2409	2162	2251	2293	1904	ENSMUSG00000032826	Ank2	Ank2	ankyrin 2, brain
Larp7	74	92	59	44	91	75	ENSMUSG00000027968	Larp7	Larp7	La ribonucleoprotein domain family, member 7
Zgrf1	20	31	29	21	41	32	ENSMUSG00000051278	Zgrf1	Zgrf1	zinc finger, GRF-type containing 1
Tifa	0	5	12	0	9	13	ENSMUSG00000046688	Tifa	Tifa	TRAF-interacting protein with forkhead-associated domain
Ap1ar	219	201	273	186	226	181	ENSMUSG00000074238	Ap1ar	Ap1ar	adaptor-related protein complex 1 associated regulatory protein
Fam241a	3	3	76	33	17	11	ENSMUSG00000050549	Fam241a	Fam241a	family with sequence similarity 241, member A
Elovl6	135	117	99	134	146	108	ENSMUSG00000041220	Elovl6	Elovl6	ELOVL family member 6, elongation of long chain fatty acids (yeast)
Egf	12	16	19	7	11	34	ENSMUSG00000028017	Egf	Egf	epidermal growth factor
Rrh	14	2	7	13	2	9	ENSMUSG00000028012	Rrh	Rrh	retinal pigment epithelium derived rhodopsin homolog
Gar1	22	32	32	18	22	21	ENSMUSG00000028010	Gar1	Gar1	GAR1 ribonucleoprotein
Pla2g12a	51	51	52	30	35	45	ENSMUSG00000027999	Pla2g12a	Pla2g12a	phospholipase A2, group XIIA
Casp6	10	4	4	16	8	3	ENSMUSG00000027997	Casp6	Casp6	caspase 6
Sec24b	259	242	276	233	306	292	ENSMUSG00000001052	Sec24b	Sec24b	Sec24 related gene family, member B (S. cerevisiae)
Col25a1	255	280	234	205	319	264	ENSMUSG00000058897	Col25a1	Col25a1	collagen, type XXV, alpha 1
Etnppl	14	24	26	7	15	17	ENSMUSG00000019232	Etnppl	Etnppl	ethanolamine phosphate phospholyase
Ostc	102	64	50	65	83	75	ENSMUSG00000041084	Ostc	Ostc	oligosaccharyltransferase complex subunit (non-catalytic)
Rpl34	59	48	65	41	50	60	ENSMUSG00000062006	Rpl34	Rpl34	ribosomal protein L34
Hadh	10	26	20	10	10	19	ENSMUSG00000027984	Hadh	Hadh	hydroxyacyl-Coenzyme A dehydrogenase
Cyp2u1	79	50	73	46	56	62	ENSMUSG00000027983	Cyp2u1	Cyp2u1	cytochrome P450, family 2, subfamily u, polypeptide 1
Papss1	74	120	88	99	119	97	ENSMUSG00000028032	Papss1	Papss1	3'-phosphoadenosine 5'-phosphosulfate synthase 1
Aimp1	199	166	139	94	140	147	ENSMUSG00000028029	Aimp1	Aimp1	aminoacyl tRNA synthetase complex-interacting multifunctional protein 1
Tbck	294	252	427	341	333	256	ENSMUSG00000028030	Tbck	Tbck	TBC1 domain containing kinase
Gm9403	4	5	8	19	9	12	ENSMUSG00000106499	Gm9403	Gm9403	heat shock protein 90 alpha (cytosolic), class B member 1 pseudogene
Npnt	23	10	16	18	8	6	ENSMUSG00000040998	Npnt	Npnt	nephronectin
Gstcd	36	28	28	7	33	23	ENSMUSG00000028018	Gstcd	Gstcd	glutathione S-transferase, C-terminal domain containing
Ints12	132	104	75	75	75	78	ENSMUSG00000028016	Ints12	Ints12	integrator complex subunit 12
Ppa2	95	51	89	79	90	74	ENSMUSG00000028013	Ppa2	Ppa2	pyrophosphatase (inorganic) 2
Tet2	510	466	709	615	669	547	ENSMUSG00000040943	Tet2	Tet2	tet methylcytosine dioxygenase 2
Cxxc4	350	332	373	260	453	363	ENSMUSG00000044365	Cxxc4	Cxxc4	CXXC finger 4
Tacr3	24	24	33	19	48	29	ENSMUSG00000028172	Tacr3	Tacr3	tachykinin receptor 3
Cenpe	5	18	16	4	3	11	ENSMUSG00000045328	Cenpe	Cenpe	centromere protein E
Slc9b2	6	19	3	9	18	7	ENSMUSG00000037994	Slc9b2	Slc9b2	solute carrier family 9, subfamily B (NHA2, cation proton antiporter 2), member 2
Cisd2	186	182	193	148	206	145	ENSMUSG00000028165	Cisd2	Cisd2	CDGSH iron sulfur domain 2
4930539J05Rik	23	34	35	28	23	31	ENSMUSG00000097032	4930539J05Rik	4930539J05Rik	RIKEN cDNA 4930539J05 gene
Ube2d3	1213	1045	1306	1185	1471	1108	ENSMUSG00000078578	Ube2d3	Ube2d3	ubiquitin-conjugating enzyme E2D 3
Manba	16	21	6	8	17	13	ENSMUSG00000028164	Manba	Manba	mannosidase, beta A, lysosomal
Nfkb1	57	37	81	81	97	71	ENSMUSG00000028163	Nfkb1	Nfkb1	nuclear factor of kappa light polypeptide gene enhancer in B cells 1, p105
Bank1	5	0	18	13	1	4	ENSMUSG00000037922	Bank1	Bank1	B cell scaffold protein with ankyrin repeats 1
Ppp3ca	3909	3474	5885	4874	3915	3260	ENSMUSG00000028161	Ppp3ca	Ppp3ca	protein phosphatase 3, catalytic subunit, alpha isoform
Ddit4l	0	0	72	45	4	3	ENSMUSG00000046818	Ddit4l	Ddit4l	DNA-damage-inducible transcript 4-like
H2az1	115	142	82	76	121	103	ENSMUSG00000037894	H2az1	H2az1	H2A.Z variant histone 1
Dnajb14	585	578	498	381	685	526	ENSMUSG00000074212	Dnajb14	Dnajb14	DnaJ heat shock protein family (Hsp40) member B14
Lamtor3	74	80	118	121	110	69	ENSMUSG00000091512	Lamtor3	Lamtor3	late endosomal/lysosomal adaptor, MAPK and MTOR activator 3
Mttp	78	68	63	41	94	67	ENSMUSG00000028158	Mttp	Mttp	microsomal triglyceride transfer protein
Trmt10a	29	32	18	15	34	21	ENSMUSG00000004127	Trmt10a	Trmt10a	tRNA methyltransferase 10A
Adh5	62	51	48	44	69	57	ENSMUSG00000028138	Adh5	Adh5	alcohol dehydrogenase 5 (class III), chi polypeptide
Metap1	180	200	163	105	163	205	ENSMUSG00000005813	Metap1	Metap1	methionyl aminopeptidase 1
Eif4e	320	301	369	272	370	321	ENSMUSG00000028156	Eif4e	Eif4e	eukaryotic translation initiation factor 4E
Tspan5	203	254	224	157	167	244	ENSMUSG00000028152	Tspan5	Tspan5	tetraspanin 5
Rap1gds1	688	848	675	639	663	627	ENSMUSG00000028149	Rap1gds1	Rap1gds1	RAP1, GTP-GDP dissociation stimulator 1
Unc5c	478	514	350	265	410	343	ENSMUSG00000059921	Unc5c	Unc5c	unc-5 netrin receptor C
Bmpr1b	24	43	50	42	44	22	ENSMUSG00000052430	Bmpr1b	Bmpr1b	bone morphogenetic protein receptor, type 1B
Pdlim5	57	66	17	42	60	38	ENSMUSG00000028273	Pdlim5	Pdlim5	PDZ and LIM domain 5
Gbp7	8	0	5	25	0	14	ENSMUSG00000040253	Gbp7	Gbp7	guanylate binding protein 7
Kyat3	6	11	15	15	22	4	ENSMUSG00000040213	Kyat3	Kyat3	kynurenine aminotransferase 3
Gtf2b	68	98	71	54	70	51	ENSMUSG00000028271	Gtf2b	Gtf2b	general transcription factor IIB
Pkn2	245	185	288	232	291	244	ENSMUSG00000004591	Pkn2	Pkn2	protein kinase N2
Lmo4	163	92	314	213	330	213	ENSMUSG00000028266	Lmo4	Lmo4	LIM domain only 4
Hs2st1	267	305	264	223	325	219	ENSMUSG00000040151	Hs2st1	Hs2st1	heparan sulfate 2-O-sulfotransferase 1
Selenof	283	226	209	160	212	189	ENSMUSG00000037072	Selenof	Selenof	selenoprotein F
Sh3glb1	230	211	284	207	188	243	ENSMUSG00000037062	Sh3glb1	Sh3glb1	SH3-domain GRB2-like B1 (endophilin)
Odf2l	99	117	149	145	135	81	ENSMUSG00000028256	Odf2l	Odf2l	outer dense fiber of sperm tails 2-like
Znhit6	82	72	82	39	116	51	ENSMUSG00000074182	Znhit6	Znhit6	zinc finger, HIT type 6
Ddah1	142	139	124	138	174	106	ENSMUSG00000028194	Ddah1	Ddah1	dimethylarginine dimethylaminohydrolase 1
Rpl36a-ps2	16	8	5	12	9	11	ENSMUSG00000105388	Rpl36a-ps2	Rpl36a-ps2	ribosomal protein L36A, pseudogene 2
Bcl10	36	11	18	24	26	9	ENSMUSG00000028191	Bcl10	Bcl10	B cell leukemia/lymphoma 10
2410004B18Rik	32	26	21	27	38	27	ENSMUSG00000036873	2410004B18Rik	2410004B18Rik	RIKEN cDNA 2410004B18 gene
